ANNAME,MNTSTA,COMMENT
AA,0,ALAZ
AP,5,Nasmyth-Left
AZ,4,Nasmyth-Right
JC,0,ALAZ
LM,5,Nasmyth-Left
PV,5,Nasmyth-Left
SM,5,Nasmyth-Left
SR,5,Nasmyth-Left
